Type,Gauge,Railway,Works no.,Year,Builder
2-6-2+2-6-2,3 ft 6 in,"Natal Navigation Collieries, South Africa",6206,1925,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,"New Cape Central Railway, South Africa",6135-6136,1923,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,Rhodesia Railways,6269-6280,1926,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,Rhodesia Railways,6510-6515,1929,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,Rhodesia Railways,6616-6625,1930,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,Rhodesia Railways,7581-7592,1952,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,Rhodesia Railways,7599-7604,1953,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,"Rio Tinto Railway, Spain",6560-6561,1928,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,South African Railways,5942,1921,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,South African Railways,6232,1925,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,South African Railways,1043-1068,1928,Krupp
2-6-2+2-6-2,3 ft 6 in,South African Railways,3115-3119,1929,Linke-Hofmann
2-6-2+2-6-2,3 ft 6 in,South African Railways,6181-6186,1924,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,South African Railways,6187-6192,1924,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,South African Railways,6263-6266,1925,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,South African Railways,6281-6287,1925,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,South African Railways,6288-6290,1926,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,South African Railways,970-982,1927,Krupp
2-6-2+2-6-2,3 ft 6 in,"Trans Zambezia, Moçambique/Nyasaland",6380,1930,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,"Trans Zambezia, Moçambique/Nyasaland",6178-6179,1924,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,Tasmanian Government Railways,5525-5526,1912,"Beyer, Peacock"
2-6-2+2-6-2,5 ft 6 in,"North Western Railway, India",6203,1925,"Beyer, Peacock"
2-6-2+2-6-2,5 ft 6 in,Ceylon Government Railway,6410,1927,"Beyer, Peacock"
2-6-2+2-6-2,5 ft 6 in,Ceylon Government Railway,7160-7167,1945,"Beyer, Peacock"
2-6-2+2-6-2,5 ft 6 in,"São Paulo Railway, Brazil",6367-6372,1927,"Beyer, Peacock"
2-8-0+0-8-2,1000 mm,"War Dept., Bengal Assam Railway",7112-7121,1943,"Beyer, Peacock"
