Location,Region,Coordinates(links to map & photo sources),Population,Elevation
Callao,Callao,12°04′00″S 77°09′00″W﻿ / ﻿12.06667°S 77.15°W,813264,1
Camaná,Arequipa,16°37′22″S 72°42′40″W﻿ / ﻿16.62278°S 72.71111°W,16434,52
Campoverde,Ucayali,8°28′31″S 74°48′21″W﻿ / ﻿8.47528°S 74.80583°W,8945,173
Candarave,Tacna,17°16′04″S 70°14′58″W﻿ / ﻿17.26778°S 70.24944°W,3415,3077
Carás,Ancash,9°02′48″S 77°48′41″W﻿ / ﻿9.04667°S 77.81139°W,10926,2441
Carhuamayo,Junín,10°55′00″S 76°02′00″W﻿ / ﻿10.91667°S 76.03333°W,9122,4000
Carhuaz,Ancash,9°16′55″S 77°38′41″W﻿ / ﻿9.28194°S 77.64472°W,5044,2864
Cascas,Cajamarca,7°29′00″S 78°49′00″W﻿ / ﻿7.48333°S 78.81667°W,4299,1562
Catacaos,Piura,5°16′00″S 80°41′00″W﻿ / ﻿5.26667°S 80.68333°W,57304,11
Ccaquiracunca,Cusco,14°16′43″S 71°26′58″W﻿ / ﻿14.27861°S 71.44944°W,4098,4233
Ccolo,Arequipa,15°30′21″S 71°29′30″W﻿ / ﻿15.50583°S 71.49167°W,3857,3803
Ccuntuma,Cusco,14°07′34″S 71°24′40″W﻿ / ﻿14.12611°S 71.41111°W,3511,3676
Celendín,Cajamarca,6°52′13″S 78°09′06″W﻿ / ﻿6.87028°S 78.15167°W,14660,2953
Cerro de Pasco,Pasco,10°41′00″S 76°16′00″W﻿ / ﻿10.68333°S 76.26667°W,78910,4363
Chachapoyas,Amazonas,6°13′54″S 77°52′09″W﻿ / ﻿6.23169°S 77.86903°W,20279,1851
Chancay,Lima,11°34′17″S 77°16′02″W﻿ / ﻿11.57139°S 77.26722°W,26958,77
Chaupimarca,Pasco,10°26′00″S 76°32′00″W﻿ / ﻿10.43333°S 76.53333°W,28666,3456
Chazuta,San Martín,6°34′27″S 76°08′12″W﻿ / ﻿6.57417°S 76.13667°W,8029,246
Checacupe,Cusco,14°01′37″S 71°27′10″W﻿ / ﻿14.02694°S 71.45278°W,3440,3716
Checca,Cusco,14°28′22″S 71°23′38″W﻿ / ﻿14.47278°S 71.39389°W,3810,3991
Chepén,La Libertad,7°13′00″S 79°27′00″W﻿ / ﻿7.21667°S 79.45°W,41992,77
Chicama,La Libertad,7°50′41″S 79°08′49″W﻿ / ﻿7.84472°S 79.14694°W,14915,160
Chiclayo,Lambayeque,6°46′25″S 79°50′30″W﻿ / ﻿6.77361°S 79.84167°W,577375,1
Chignayhua,Cusco,14°14′35″S 71°26′31″W﻿ / ﻿14.24306°S 71.44194°W,3912,3971
Chilca,Lima,12°31′16″S 76°44′14″W﻿ / ﻿12.52111°S 76.73722°W,12884,78
Chimbote,Ancash,9°05′07″S 78°34′42″W﻿ / ﻿9.08528°S 78.57833°W,316966,1
Chincha Alta,Ica,13°24′35″S 76°07′56″W﻿ / ﻿13.40985°S 76.13235°W,153076,98
Chipispaya,Tacna,17°29′50″S 70°12′58″W﻿ / ﻿17.49722°S 70.21611°W,1932,2066
Chivay,Arequipa,15°38′18″S 71°36′04″W﻿ / ﻿15.63833°S 71.60111°W,4543,3842
Chocope,La Libertad,7°47′29″S 79°13′18″W﻿ / ﻿7.79139°S 79.22167°W,32370,119
