Location,Region,Coordinates(links to map & photo sources),Population,Elevation,Noise_Field_1,Filler_2,Extra_Data_3
Santa Eulalia,Lima,11°51′00″S 76°41′00″W﻿ / ﻿11.85°S 76.68333°W,6406,1990,ZrLjaO,rXAnuw,414
Santa Lucía,Puno,15°42′00″S 70°36′19″W﻿ / ﻿15.7°S 70.60528°W,4320,4113,OKZJKofZ,gMMgkl,83
Santa Maria,Lima,12°00′S 76°54′W﻿ / ﻿12°S 76.9°W,14853,552,bFjLqueB,xuWKRq,53
Santa Rosa,Lambayeque,6°46′00″S 79°50′00″W﻿ / ﻿6.76667°S 79.83333°W,10625,1,ObsMeP,CJZwYZRU,30
Santiago,Ica,14°11′19″S 75°42′51″W﻿ / ﻿14.18861°S 75.71417°W,10449,429,nXayO,ZaGKlhqm,539
Santiago de Cao,La Libertad,7°57′32″S 79°14′21″W﻿ / ﻿7.95889°S 79.23917°W,21982,1,kNtQxM,fhdzdBbM,506
Santiago de Chuco,La Libertad,8°09′00″S 78°11′00″W﻿ / ﻿8.15°S 78.18333°W,6759,2950,hrciPSl,TjzkM,321
Santo Tomas,Cusco,14°26′44″S 72°05′03″W﻿ / ﻿14.44556°S 72.08417°W,4134,3679,NcoshzUK,QNmjMx,985
Saposoa,San Martín,6°56′02″S 76°46′18″W﻿ / ﻿6.93395°S 76.77158°W,14894,360,bVuWiImm,wBzRg,579
Saquena,Loreto,4°40′00″S 73°31′00″W﻿ / ﻿4.66667°S 73.51667°W,4362,113,SzCFgnZ,kzzFuR,987
Satipo,Junín,11°15′08″S 74°38′19″W﻿ / ﻿11.25222°S 74.63861°W,15532,627,ANxdIrmW,QnkYMiNI,611
Sayán,Lima,11°08′10″S 77°11′36″W﻿ / ﻿11.13611°S 77.19333°W,6196,961,uHCRo,GgVWx,762
Sechura,Piura,5°33′25″S 80°49′20″W﻿ / ﻿5.55694°S 80.82222°W,23020,1,TXgfK,qTjKcdLQ,632
Sicaya,Junín,12°02′00″S 75°17′00″W﻿ / ﻿12.03333°S 75.28333°W,6842,3636,jrjTJDV,iGCNrw,347
Sicuani,Cusco,14°16′10″S 71°13′34″W﻿ / ﻿14.26944°S 71.22611°W,33575,3716,vESIxbWW,hKKuN,981
Soritor,San Martín,6°08′21″S 77°06′14″W﻿ / ﻿6.13917°S 77.10389°W,10858,846,WTaYno,cqWihh,396
Subtanjalla,Ica,14°01′08″S 75°45′29″W﻿ / ﻿14.01889°S 75.75806°W,9096,418,hSoxa,eIadTH,559
Sullana,Piura,4°54′14″S 80°41′07″W﻿ / ﻿4.90389°S 80.68528°W,160789,67,fmXohAQ,AQxVRif,651
Supe,Lima,10°48′00″S 77°44′00″W﻿ / ﻿10.8°S 77.73333°W,13719,153,chDewo,pFPLKa,585
Tabalosos,San Martín,6°21′00″S 76°41′00″W﻿ / ﻿6.35°S 76.68333°W,14744,627,LZAfr,ocShiJVs,856
Tacna,Tacna,18°00′20″S 70°14′54″W﻿ / ﻿18.00556°S 70.24833°W,280098,601,VnGIUjx,LTlabgCY,73
Talara,Piura,4°34′38″S 81°16′19″W﻿ / ﻿4.57722°S 81.27194°W,99074,14,HJHTgKIt,jAyex,582
Talavera,Apurímac,13°39′11″S 73°25′45″W﻿ / ﻿13.65306°S 73.42917°W,7381,3000,NEVTyi,DUmcN,500
Tambo,Ayacucho,14°48′00″S 73°55′00″W﻿ / ﻿14.8°S 73.91667°W,5032,4265,QIaTsXz,fwMYv,639
Tambo Grande,Piura,4°55′37″S 80°20′41″W﻿ / ﻿4.92694°S 80.34472°W,30033,96,JJdIpz,VMEOvG,786
Tambopata,Madre de Dios,12°44′00″S 69°11′00″W﻿ / ﻿12.73333°S 69.18333°W,38966,200,gauuR,VUZwbPMF,511
Taquile,Puno,15°46′00″S 69°41′00″W﻿ / ﻿15.76667°S 69.68333°W,2000,3827,XWuqoOT,sgftiDNw,287
Tarata,Tacna,17°28′28″S 70°01′58″W﻿ / ﻿17.47444°S 70.03278°W,3052,3329,dLWidLs,GMwgiYKM,42
Tarma,Junín,11°25′11″S 75°41′27″W﻿ / ﻿11.41972°S 75.69083°W,51350,4058,EFZXOe,JUMSHqV,78
Tingo María,Huanuco,9°17′22″S 76°00′32″W﻿ / ﻿9.28951°S 76.00876°W,53177,657,NZQkWR,jcJtSimu,643
