Rank,Bib,Name,Nationality,Start,Penalties (P+P+S+S),Time,Deficit
51,48,Claudio Böckli,Switzerland,2:13,3 (2+0+0+1),38:02.8,+5:27.3
52,44,Russell Currier,United States,2:05,7 (3+1+2+1),38:06.2,+5:30.7
53,57,Vladimir Chepelin,Belarus,2:28,4 (0+1+2+1),38:06.5,+5:31.0
54,46,Aliaksandr Babchyn,Belarus,2:06,6 (3+2+1+0),38:19.8,+5:44.3
55,59,Miroslav Matiaško,Slovakia,2:36,6 (3+0+2+1),38:54.6,+6:19.1
56,38,Jarkko Kauppinen,Finland,1:46,6 (1+1+3+1),39:06.6,+6:31.1
57,51,Junji Nagai,Japan,2:17,7 (0+2+3+2),39:49.9,+7:14.4
,55,Stefan Gavrila,Romania,2:25,10 (4+3+3),LAP,
,39,Sergei Sednev,Ukraine,1:54,,DNS,
,52,Michal Šlesingr,Czech Republic,2:18,,DNS,
