Rank,Athlete,Nationality,Time,Dummy_Col_1,Noise_Field_2,Noise_Field_3
76,Ronny Ligneel,Belgium,1:06:04,qVzZLYbw,DjBWksY,imMbiwex
77,Marly Sopyev,Turkmenistan,1:06:06,iCNZKYt,DJSQUgYQ,OZGNJ
78,Fernando Couto,Portugal,1:06:13,kqWkNqi,HyABhLZ,zQhWuC
79,Marcos Villa,Mexico,1:06:16,UDeaDKF,cDFzaa,REwwoJ
80,Viktor Korniyenko,Ukraine,1:06:31,vNBqIhS,DoRVqQWP,OANFLU
81,Aleksandr Kostikov,Russia,1:06:32,dpkqgxV,qicwUuh,hqJTpsH
82,Mohamed El-Massoudi,France,1:06:36,BkLDg,djCkem,kQKgQfuF
83,Chris Verbeeck,Belgium,1:06:37,dUvRIyO,XDOiL,cIoaujQ
84,Julius Ruto,Kenya,1:06:40,ooRyLzZC,NDXiIaPV,DYRBh
85,Simon Mphulanyane,South Africa,1:06:47,IuDAY,ZCtTFMi,XPISm
86,Marcelo Cascabelo,Argentina,1:06:48,yvKtvLv,PjfUL,vvGic
87,Gezahegn Abera,Ethiopia,1:06:48,qpRxaM,ALWMglJk,RINaiR
88,Mark Flint,Great Britain,1:06:49,GbPFoynb,YRdnwVJJ,eVACXypp
89,Seiichi Miyajima,Japan,1:06:50,CvpbS,rtdDnBEC,EULbjcj
90,Ronald Schut,Netherlands,1:06:53,AlhfsfYH,QPrNvvtT,WaJjbxW
