Rank,Athlete,Nationality,Time
106,Wilson Theleso,Botswana,1:08:12
107,Atadjan Duzdyev,Turkmenistan,1:08:15
108,Haja Ramananjatavo,Madagascar,1:08:25
109,Ramiz Taipi,Yugoslavia,1:08:37
110,Petri Kuusinen,Finland,1:08:39
111,Kefemawg Selogilwe,Botswana,1:08:39
112,Stéphane Schweickhardt,Switzerland,1:08:57
113,Eike Loch,Germany,1:09:14
114,Jens Wilky,Germany,1:09:17
115,Frederick Baldacchino,Malta,1:09:26
116,Ajay Chuttoo,Mauritius,1:09:29
117,Linton McKenzie,Jamaica,1:09:37
118,Parakhat Kurtgeldiyev,Turkmenistan,1:09:50
119,Aleksey Tarasyuk,Belarus,1:09:59
