Year,Game of the Year,Abstract strategy,Advanced strategy,Family,Family card,Family strategy,Party,Puzzle,Word,Historical simulation,Other,Random_Column_1,Noise_Field_2
1991,Trumpet,Master Labyrinth,-,Stack,Arcade: Wing Commander,Real-Life Strategy: Sherlock Holmes Consulting Detective,Tabloid Teasers,3 In Three,Swoggle,War/Adventure: HeroQuest,Trivia: Play It By Ear,VsrUO1,EmoLj
1992,Pipeline,Terrace,-,Showdown Yahtzee,Arcade: Super Tetris,Real-Life Strategy: D-Day,Humm…ble,Heaven & Earth,Wordsters,Adventure: The Lost Files of Sherlock Holmes,Trivia: Times To Remember,W7CnGat,vGiGaZ
1993[citation needed],Inklings,Char,-,Perpetual Notion,Arcade: Ecco the Dolphin,Real-Life: Civilization,Oodles,The Incredible Machine,Pick Two!,Adventure: Return to Zork,Trivia: Celebrity Challenge,NXFSS,scsfev
1994,Myst,The Game of Y,Wargames: V for Victory,Peg Poker,Arcade: Lode Runner: The Legend Returns,Real-Life Strategy: X-Com: UFO Defense,The Doonesbury Game,Breakthru!,Boggle Master,Adventure: The Elder Scrolls: Arena,Trivia: Quote Unquote,h9i6jE,gVMBoEC
1995,Sharp Shooters,Strategy: Quixo,Conflict: Colonial Diplomacy,Touché,Phantoms of the Ice,Sports: Dynasty League Baseball,Catch Phrase,Lights Out,Pre.fix,Adventure & Role Playing: Dragon Dice: Battle Box,Trivia: ChroniclesCCG: On the Edge CCG: Standard Starter Deck,iy0oAA,iVXHpx
1997,25 Words or Less,Transpose,Strategy & Conflict: Field Command,Mole in the Hole,Take 6,Priceless,Last Chance,Deluxe Lights Out,Bethump'd With Words,Adventure & Role-Playing: Dragonlance: Fifth Age,Trivia: Origins,jVN1Q,QZecXAN
1998,Quoridor,Balanx,Strategy & Conflict: Princess Ryan's Star Marines,Take It Easy,Get the Goods,Quandary,Wise and Otherwise,Lost in a Jigsaw,A to Z,-,Trivia: Director's CutCCG: Magic: The Gathering - Portal,qmjrY12N,XgUvnKWB
1999,Fossil,GIPF,Conflict: Atlantic Storm,Montgolfiere,Bohnanza,El Grande,Say When!!,Stormy Seas,Alpha Blitz,-,Trivia: Where in Time is Carmen Sandiego?CCG: C 23,Nbb16r5P,DwRjTBY
2000,Torres,Octi,Memory: Mamma Mia,Moonshot,Buried Treasure,Tikal,Apples to Apples,Ricochet Robot,Double Quick!,-,Trivia: BiovivaCCG: PokémonDexterity: Spintrek,88LiO,ttpzJp
2001,Aladdin's Dragons,ZÈRTZ,The Princes of Florence,Café International,Hellrail,Web of Power,Democrazy,Lunar Lockout,-,Paths of Glory,Two-Player Card: Caesar & CleopatraDexterity: Carabande,KwgJP,HWZRQAMW
2002,Evo,Morisi,Java,Africa,Babel,Lord of the Rings,Hilarium,Flip-It!,My Word!,Drive on Paris,Manual Dexterity: Space Game,FCOrWK,SQxlhFNB
2003,DVONN,Pueblo,Puerto Rico,Emerald,Vom Kap Bis Kairo (From Cape to Cairo),Mexica,Moods,Nemesis Factor,-,Wilderness War,Manual Dexterity: Villa Paletti,RHHVHOZ,piFpiyxc
