2011 rank,2010 rank,2009 rank,2008 rank,2007 rank,Company (country),2011 arms sales (US$ m.),2010 arms sales (US$ m.),2009 arms sales (US$ m.),2008 arms sales (US$ m.),2007 arms sales (US$ m.),"Arms sales as share of company’s total sales (%),",Dummy_Col_1,Dummy_Col_2,Extra_Data_3
12,12,12,12,12,SAIC,7940,8230,8030,7350,6250,75,nsIqjrS,xhuwRhwJ,275
13,-,-,-,-,Huntington Ingalls Industries,6380,-,-,-,-,97,XVhsK,jXtYD,169
14,15,14,15,15,Honeywell,5280,5400,5380,5310,5020,14,ZibMqH,VKUvnfL,230
15,16,16,25,14,SAFRAN,5240,4800,4740,3020,5230,32,tHEGlgpM,mawJNpJ,869
16,14,13,14,13,Computer Sciences Corp.,4860,5940,6050,5710,5420,31,vLaZVKu,daeqOzRJ,896
17,17,19,17,17,Rolls-Royce,4670,4330,4140,4720,4580,26,Kadmei,oZOReCQ,96
18,21,-,-,-,United Aircraft Corporation,4440,3440,-,-,-,80,VXZbHE,ybqNHcLU,87
19,13,27,37,45,Oshkosh Corporation,4370,7080,2770,2070,1570,58,IuUTbTgM,rHptpih,231
20,18,18,22,20,General Electric,4100,4300,4700,3650,3460,3,uRVIEw,FYpSOvYd,80
21,19,17,16,19,ITT Corp.,4020,4000,4730,5170,3850,69,NzVFGat,eFUlpr,505
22,20,22,18,23,Almaz-Antey,3690,3950,3260,4340,2780,85,isWDJVgX,VnawPi,707
