Wrestler:,Times:,Date:,Location:,Notes:,Irrelevant_1
Jonnie Stewart,1,"June 6, 1996","Rochester, Minnesota",Defeated Larry Gligorovich to win the AWA Superstars of Wrestling World Heavyweight Championship.,fIxLvl
King Kong Bundy,1,"March 31, 1999","Oshkosh, Wisconsin",Later stripped of the title by owner Dale Gagne.,gepoqm
The Patriot(Danny Dominion),1,"July 29, 2000","Pine Bluff, Arkansas",Defeated Dale Gagne in an impromptu match to win the title.,QgDXWy1F
Ricky Enrique,1,"July 29, 2000","Pine Bluff, Arkansas",,Tom0g
Eric Priest,1,"June 3, 2001","Hillside, Illinois",,foaW1Ee
Evan Karagias,1,"March 22, 2002","Casa Grande, Arizona",,mlrE2u
Horshu,1,"October 12, 2002","Mercedes, Texas",Stripped of the title due to missing mandatory title defenses.,M4rJ4
Evan Karagias,2,"July 6, 2003","Lemoore, California",Defeated Eric Priest to win the vacated title. Karagias was fired in January 2005 by Dale Gagne for misconduct and refusal of defending the title as scheduled.,cj6bt
Takao Ōmori,1,"February 15, 2005","Tokyo, Japan",Defeated Steve Corino in the finals of a tournament when Pro Wrestling Zero1 joins AWA Superstars of Wrestling.,QCDWY
Steve Corino,1,"June 11, 2005","Bay City, Michigan",,NhDpiQqD
Shinjiro Otani,1,"January 22, 2006","Tokyo, Japan",,AimWt
Takao Ōmori,2,"April 1, 2006","Tokyo, Japan",,cWTcMn
