Wrestler:,Times:,Date:,Location:,Notes:
Ric Converse,1,"June 14, 2006","Indianapolis, Indiana",
Steve Corino,2,"January 7, 2007","Pottstown, Pennsylvania","On March 23, 2007, Corino lost the title to TNT at an AWF event; however, on March 28, the AWA Superstars of Wrestling Board of Directors returned the title to Corino when the proper paperwork for the match could not be found."
Takao Ōmori,3,"March 31, 2007","Yokohama, Japan",
Masato Tanaka,1,"October 26, 2007","Tokyo, Japan",
Larry Zbyszko,1*,"February 5, 2008","Minneapolis, Minnesota",Title awarded.
Brian Logan†,#,"April 20, 2008","Fayetteville, West Virginia","Logan defeated Zbyszko and Ricky Landell in a triple threat match. Shortly thereafter, Mountaineer Wrestling Association of West Virginia, the promotion for which Logan primarily performs, pulled out of AWA Superstars of Wrestling to form American Wrestling Affiliates with several other promotions. The title was returned to Zbyszko, and Logan's reign was never officially recognized by AWA Superstars of Wrestling."
Larry Zbyszko,1*,,,Title returned to Zbyszko.
Ricky Landell,1,"October 11, 2008","Indianapolis, Indiana",Title becomes known as the WSL World Heavyweight Championship when the promotion is forced to rename.
Keith Walker,1,"February 21, 2009","Michigan City, Indiana",
Jonnie Stewart,2,"June 9, 2012","Landover, Maryland","In a day referred to as The Saturday Night Massacre, in reference to President Nixon's firing of two Whitehouse attorneys general in one night; President Dale Gagne strips and fires Keith Walker when Walker refuses to defend the title against Ricky Landell, in an event in Landover, Maryland. When Landell is awarded the title, he refuses to accept and is too promptly fired by Gagne, who than awards the title to Jonnie Stewart."
The Honky Tonk Man,1,"August 18, 2012","Rockford, Illinois","The morning of the event, Jonnie Stewart's doctors declare him PUP (physically unable to perform) and WSL officials agree to let Mike Bally sub for Stewart."
