Song,Artist(s),Concert,Film,1978 album,2002 album,Irrelevant_1,Irrelevant_2,Extra_Data_3
"\Up on Cripple Creek\""""",The Band,1,3,2,2,NqX94rY,HaFWp7v0,431
"\The Shape I'm In\""""",The Band,2,4,14,3,pefFKF,4bP95q,863
"\It Makes No Difference\""""",The Band,3,6,8,4,wIlxNf,lYRIa,370
"\Life is a Carnival\""""",The Band,4,-,19,6,37cQ0,WvMNy,741
"\This Wheel's on Fire\""""",The Band,5,-,-,10,laBeKgO4,yANag,579
"\W.S. Walcott Medicine Show\""""",The Band,6,-,-,26,e93WHC7,FCA8G,92
"\Georgia on My Mind\""""",The Band,7,-,-,-,1kM8CB,IXfQl,64
"\Ophelia\""""",The Band,8,20,16,18,2d2SV3G,fWnWjZ,865
"\King Harvest (Has Surely Come)\""""",The Band,9,-,-,-,jhdal5BF,vuVU4,733
"\The Night They Drove Old Dixie Down\""""",The Band,10,12,10,29,7jRnPcQ,kcsMP,74
"\Stage Fright\""""",The Band,11,10,5,14,KQyPfH,IgrjzxIp,276
"\Rag Mama Rag\""""",The Band,12,-,-,15,ML3Ak5nz,QTwoSF,462
