Song,Artist(s),Concert,Film,1978 album,2002 album,Irrelevant_1,Noise_Field_2,Dummy_Col_3
\Baby," Let Me Follow You Down\"" (reprise)""",Bob Dylan,37,24,23,2Y1vy,HYLdca,EOuFLgjg
"\I Shall Be Released\""""","Bob Dylan and The Band, with guests (including Ronnie Wood and Ringo Starr)",38,25,24,36,JjvK3lvd,OUEuRQf,bENHBm
"\Jam #1\""""","Neil Young, Ronnie Wood, Eric Clapton, Robbie Robertson, Paul Butterfield, Dr. John, Garth Hudson, Rick Danko, Ringo Starr and Levon Helm",39,-,-,37,51HeATLs,fcTWS,LmWBoxb
"\Jam #2\""""","Neil Young, Ronnie Wood, Eric Clapton, Stephen Stills, Paul Butterfield, Dr. John, Garth Hudson, Carl Radle, Ringo Starr and Levon Helm",40,-,-,38,GyuuvB,HWeXR,ZWBIVR
"\Don't Do It\""""",The Band,41,1,-,39,rn2gacxA,PgqChWmn,TEAUbiiC
"\Theme from The Last Waltz\"" (studio)""",The Band,-,2,1,1,esW9q3G,QdRDkKaJ,egoYok
"\Greensleeves\""""",The Band,42,-,-,40,REhy47uF,JpKJtjU,KHWUgR
Introduction to The Canterbury Tales in Chaucerian dialect,Michael McClure,-,7,-,-,WMp7aI,vfRprjH,tnbVCc
"\The Weight\"" (studio version)""",The Band and The Staple Singers,-,11,29,44,eId1N,SizuAj,gxVYui
"\Evangeline\"" (studio version)""",The Band and Emmylou Harris,-,18,27,-,XMEpJ,KhkCjgTH,yAkBscQi
"\Loud Prayer\""""",Lawrence Ferlinghetti,-,22,-,-,rik0cX,wxGmNvf,OgyiZ
