Province,Map #,ISO 3166-2:AF,Centers,Population,Area (km²),Language,Notes,U.N. Region,Extra_Data_1,Extra_Data_2,Filler_3
Nurestan,31,AF-NUR,Parun,"112,000","9,225","Nuristani, Pashto, Dari Persian",7 districts,East Afghanistan,108,808,VGYZFK
Orūzgān,11,AF-ORU,Tarin Kowt,"627,000","22,696",Pashto,6 districts,South West Afghanistan,170,622,QsPzj
Paktia,24,AF-PIA,Gardez,"415,000","6,432","Pashto, Dari Persian",11 districts,South Afghanistan,216,52,ZUBor
Paktika,25,AF-PKA,Sharan,"352,000","19,482",Pashto,15 districts,South Afghanistan,927,639,HKlUr
Panjshir,28,AF-PAN,Bazarak,"128,620","3,610",Dari Persian,5 districtsCreated in 2004 from Parwan Province,Central Afghanistan,910,838,nroner
Parwan,20,AF-PAR,Charikar,"726,000","5,974",Dari Persian,Composed of 9 districts,Central Afghanistan,894,811,JGDnCzW
Samangan,14,AF-SAM,Aybak,"378,000","11,262","Dari Persian, Uzbek",5 districts,North Afghanistan,446,51,kQrmZpw
Sar-e Pol,9,AF-SAR,Sar-e Pol,"468,000","15,999",Dari Persian and Uzbek,6 districts,North Afghanistan,84,974,JDahn
Takhar,27,AF-TAK,Taloqan,"810,800","12,333","Dari Persian, and Uzbek",12 districts,North East Afghanistan,161,61,wZsVy
Wardak,21,AF-WAR,Meydan Shahr,"413,000","8,938","Pashto, Dari Persian",9 districts,Central Afghanistan,790,81,YmFTwZCp
Zabul,17,AF-ZAB,Qalat,"365,920","17,343",Pashto,9 districts,South West Afghanistan,46,643,GnXXG
