Year,Film,Role,Notes,Irrelevant_1,Unused_2,Extra_Data_3
2011,Loot,Pandit,,DDAC1XS,,92
2011,Delhi Safari,Bajrangi (voice),3D Animation film,vxPaYd,,510
2013,Deewana Main Deewana,Basant,Released after Ten years,NknECW,,598
2013,Samadhi,Deputy Inspector General of Police,Bengali Debut,l4jTTc,,760
2014,Holiday: A Soldier Is Never Off Duty,Senior of Captain Virat,Post-production (Releasing on 6 June 2014),2elLURbJ,,340
2014,Kill Dil,Negative Role,Filming (Releasing on 5 September 2014),AhREwtn,,76
2014,Happy Ending,,Filming (Releasing in 2014),QiqiF,,245
2014,Avatar,Football Coach,"Post-production, (Releasing in 2014)",xffr8RH,,629
2014,Afra Tafri,,"Post-production, (Releasing in 2014)",QBfz7,,889
2014,Abhinay Chakra,Cop,"Post-production, Also producer, (Releasing in 2014)",oJmeXqXp,,158
2014,Hero,,"Filming, (Releasing on 12th December 2014)",QQammRP4,,259
2014,Banda Yeh Bindaas Hai,Pappu,Delayed,V8wUnHZ,,519
2014,Run Bhola Run,,Delayed,pIZXS,,807
2015,Jagga Jasoos,Jagga's Step-Father,Filming (Releasing on 29 May 2015),It73j3q0,,566
2015,The Bengali Detective,Detective,"Directed By Mira Nair, (Filming starts from October 2014)",3m11orc,,936
