Date,Place,Disc.,Winner,Second,Third,Filler_1,Unused_2
5 January 2006,"Zagreb, Croatia",SL,Marlies Schild,Kathrin Zettel,Janica Kostelić,KvynEWyI,
7 January 2006,"Maribor, Slovenia",GS,cancelled,,,dGaZW,
8 January 2006,"Maribor, Slovenia",SL,Marlies Schild,Janica Kostelić,Therese Borssén,KbCSQqTM,
13 January 2006,"Bad Kleinkirchheim, Austria",DH,Anja Pärson,Michaela Dorfmeister,Fränzi Aufdenblatten,ePfXzlbN,
14 January 2006,"Bad Kleinkirchheim, Austria",DH,Janica Kostelić,Nike Bent,Michaela Dorfmeister,Uhuotf,
15 January 2006,"Bad Kleinkirchheim, Austria",SG,Janica Kostelić,Michaela Dorfmeister Alexandra Meissnitzer,,gVDEPxl,
20 January 2006,"St. Moritz, Switzerland",SG,Michaela Dorfmeister,Tina Maze,Nicole Hosp,WaNfmJIE,
20 January 2006,"St. Moritz, Switzerland",DH,Michaela Dorfmeister,Renate Götschl,Janica Kostelić,UWXYhkf,
22 January 2006,"St. Moritz, Switzerland",SC,Janica Kostelić,Anja Pärson,Lindsey Kildow,LPrjhf,
27 January 2006,"Cortina d'Ampezzo, Italy",SG,Anja Pärson,Julia Mancuso,Lindsey Kildow,xWwJwJT,
28 January 2006,"Cortina d'Ampezzo, Italy",DH,Renate Götschl,Julia Mancuso,Elisabeth Görgl,fVljQpN,
29 January 2006,"Cortina d'Ampezzo, Italy",GS,Nicole Hosp,Geneviève Simard,Elisabeth Görgl,sgjlLbF,
3 February 2006,"Ofterschwang, Germany",GS,María J. Rienda,Anja Pärson,Kathrin Zettel,domyXdAq,
