Rank,Athlete,ShootingScore (pts),FencingVictories (pts),SwimmingTime (pts),RidingPenalties (pts),RunningTime (pts),Total
,Andrey Moiseev (RUS),175 (1036),22 (1000),1:58.88 (1376),168 (1032),9:51.88 (1036),5480
,Andrejus Zadneprovskis (LTU),172 (1000),19 (916),2:04.34 (1308),112 (1088),9:31.46 (1116),5428
,Libor Capalini (CZE),179 (1084),14 (776),2:02.00 (1336),84 (1116),9:40.70 (1080),5392
4,Deniss Čerkovskis (LAT),180 (1096),19 (916),2:09.00 (1252),196 (1004),9:38.77 (1088),5356
5,Dzmitry Meliakh (BLR),186 (1168),11 (692),2:02.63 (1332),56 (1144),9:59.45 (1004),5340
6,Michal Michalík (CZE),181 (1108),18 (888),2:08.51 (1260),56 (1144),10:17.68 (932),5332
7,Eric Walther (GER),168 (952),16 (832),2:02.03 (1336),84 (1116),9:39.36 (1084),5320
8,Gábor Balogh (HUN),175 (1036),15 (804),2:10.02 (1240),28 (1172),9:49.67 (1044),5296
9,Vakhtang Iagorashvili (USA),171 (988),19 (916),2:09.11 (1252),28 (1172),10:13.95 (948),5276
10,Rustem Sabizkhuzin (RUS),185 (1156),18 (888),2:12.02 (1216),292 (908),9:39.60 (1084),5252
11,Sergio Salazar (MEX),172 (1000),16 (832),2:07.27 (1276),112 (1088),9:59.15 (1004),5200
