#,Title,Producers,Guest Performers,Length
1.,"\Throw Aways\""""",Maj & Sosa,Gorilla Zoe & Yung Joc,3:11
2.,"\I'm A Gangsta\""""",Drew,,4:16
3.,"\Life Goes On Interlude #1""",,Lil' Duval,0:58
4.,"\Screwed Up\""""",Mr. Lee,Lil' Wayne,5:02
5.,"\Against All Odds\""""",Q-Stone,2Pac,4:22
6.,"\Life Goes On Interlude #2""",,Lil' Duval,1:12
7.,"\Nuthin' 2 A Boss\""""",I.N.F.O. & NOVA,Slim Thug,3:59
8.,"\Life Goes On\""""",Goichi & Mike Dean,L. Boogie,4:11
9.,"\Smile\""""",Sean T,Jadakiss & Styles P,4:32
10.,"\Life Goes On Interlude #3""",,Lil' Duval,1:12
