Release date,Single title,UK Singles Chartposition,FrenchCharts,GermanCharts,IrishCharts,Various
1976,"\Sister Mary\"" (duet with Joe Dolan)""",-,-,-,2,-
May 1976,"\Who's That Lady With My Man\""""",-,5,-,-,-
October 1976,"\Help Me\""""",-,17,-,-,-
1976,"\Goodbye Venice Goodbye\""""",-,-,-,-,-
February 1977,"\All We Need is Love\""""",-,-,-,-,-
June 1977,"\Run to Me\""""",-,-,-,-,"#22 (Netherlands), #5 (South Africa)"
February 1978,"\Make Love to Me\""""",-,-,-,-,"#5 (Australia), #2 (South Africa)"
August 1978,"\Loving Just for Fun\""""",-,-,-,-,-
November 1978,"\Take Me to Paradise\""""",-,-,-,-,-
January 1979,"\If I Can't Have You\""""",-,-,-,-,-
August 1979,"\Feels Like I'm in Love\""""",-,-,-,-,-
May 1980,"\Feels Like I'm in Love\"" (re-release)""",1,-,5,3,"#6 (Australia), #6 (Austria)#2 (Belgium), #3 (Netherlands)#7 (South Africa)"
November 1980,"\Loving Just for Fun\"" (re-release)""",21,-,20,22,-
February 1981,"\Hot Love\""""",22,-,25,13,-
