Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,15,Sebastian Vettel,Red Bull-Renault,56,1:57:43.485,1,10
2,14,Mark Webber,Red Bull-Renault,56,+10.970,3,8
3,22,Jenson Button,Brawn-Mercedes,56,+44.975,5,6
4,23,Rubens Barrichello,Brawn-Mercedes,56,+1:03.704,4,5
5,2‡,Heikki Kovalainen,McLaren-Mercedes,56,+1:05.102,12,4
6,1‡,Lewis Hamilton,McLaren-Mercedes,56,+1:11.866,9,3
7,10,Timo Glock,Toyota,56,+1:14.476,19,2
8,12,Sébastien Buemi,Toro Rosso-Ferrari,56,+1:16.439,10,1
9,7,Fernando Alonso,Renault,56,+1:24.309,2,
10,4,Kimi Räikkönen,Ferrari,56,+1:31.750,8,
