Composer,Born,Died,Nationality,Notable works for piano,Remarks
Wilhelm Stenhammar,1871,1927,Swedish,,
Richard Strauss,1864,1949,German,,
Igor Stravinsky,1882,1971,"Russian, French, American","Piano Sonata in F-sharp minorQuatre études, Op. 7Piano-Rag-MusicTrois mouvements de Petrouchka",Post-Romantic (early); Neoclassical (middle); Serial (late career)
Soulima Stravinsky,1910,1994,"Swiss, American",,
Tōru Takemitsu,1930,1996,Japanese,,"Eclectic, with influences ranging from jazz, popular music, avant-garde procedures, and traditional Japanese music; strongly influenced by Debussy and Messiaen"
Joaquin Turina,1882,1949,Spanish,,
Galina Ustvolskaya,1919,2006,Russian,,Eclectic
Heitor Villa-Lobos,1887,1959,Brazilian,Bachianas Brasileiras No. 4Rudepoêma (1921–1926),
Ángel Villoldo,1861,1919,Argentine,,Tango
Pancho Vladigerov,1899,1978,Bulgarian,,
