No.,Name,Position,Date of Birth (Age),Signed from,Notes
–,Agustín Tabárez,DF,"October 15, 1994 (age 19)",The Academy,Reserve team player
–,Anderson Silva,MF,"August 28, 1982 (age 31)",Barnsley,End of contract on 31 December 2011
–,Ayrton Bone,MF,"May 27, 1994 (age 20)",The Academy,Reserve team player
–,Carlos De Pena,MF,"March 11, 1992 (age 22)",The Academy,Reserve team player
–,Hugo Dorrego,MF,"May 9, 1993 (age 21)",The Academy,Reserve team player
–,Damián Eroza,MF,"March 22, 1993 (age 21)",The Academy,Reserve team player
–,Horacio Peralta,MF,"June 3, 1982 (age 32)",Central Español,End of contract on 31 December 2011
–,Gastón Pereiro,MF,"June 11, 1995 (age 19)",The Academy,Reserve team player
–,Santiago Pereyra,MF,"June 2, 1992 (age 22)",The Academy,Reserve team player
–,Santiago Saúl,MF,"January 8, 1993 (age 21)",The Academy,Reserve team player
–,Matías Sosa,MF,"June 26, 1992 (age 21)",Sporting de Gijón B,End of contract on 31 December 2011
