Year,NW Rank,Venue,Opp Rank,Opponent,Score,W/L,Round,Notes
2005,21,Away,13,North Alabama,25-24,W,Semifinal,
2005,21,Braly Stadium,1,Grand Valley State,17-21,L,Finals,
2006,2,Maryville,18,Midwestern State,27-0,W,2nd Round (first round bye),
2006,2,Maryville,8,Chadron State,28-21,W,Quarterfinal,
2006,2,Maryville,6,Bloomsburg,33-3,W,Semifinal,
2006,2,Braly Stadium,1,Grand Valley State,14-17,L,Finals,
2007,5,Maryville,4,West Texas A&M,56-28,W,2nd Round (first round bye),
2007,5,Away,2,Chadron State,26-13,W,Quarterfinal,
2007,5,Maryville,1,Grand Valley State,34-16,W,Semifinal,
2007,5,Braly Stadium,8,Valdsota State,20-25,L,Finals,
2008,3,Maryville,10,Pittsburg State,38-35,W,2nd Round (first round bye),
