Name,Built,Listed,Location,County,Type
Waverly Bridge,1914,1989-03-20,"Columbus, Waverly33°33′54″N 88°29′48″W﻿ / ﻿33.56500°N 88.49667°W","Clay, Lowndes",Swinging through truss
Widow's Creek Bridge,1917,1988-11-16,Port Gibson31°56′30″N 91°3′3″W﻿ / ﻿31.94167°N 91.05083°W,Claiborne,Pratt half-hip pony truss
Woodrow Wilson Bridge,1925,1988-11-16,Jackson32°17′22″N 90°10′44″W﻿ / ﻿32.28944°N 90.17889°W,"Hinds, Rankin",Open-spandrel concrete arch
Woodburn Bridge,ca. 1916,1988-11-16,Indianola33°23′15″N 90°42′21″W﻿ / ﻿33.38750°N 90.70583°W,Sunflower,Pratt truss;Swing truss
Yellow Creek Bridge,1910,1988-11-16,Waynesboro31°41′49″N 88°40′13″W﻿ / ﻿31.69694°N 88.67028°W,Wayne,Pratt pony truss
Youngblood Bridge,"1900, 1915",1979-05-23,Union Church31°38′0″N 90°48′51″W﻿ / ﻿31.63333°N 90.81417°W,Jefferson,Twin-tower swng. susp. brdg.
Confederate Avenue Steel Arch Bridge,1903,removed 2002-12-16,Vicksburg,Warren,Steel deck arch
Hickahala Creek Bridge,1926,removed 1996-03-15,Senatobia,Tate,Warren pony truss
Rockport Bridge,1910,removed 1999-12-15,"Georgetown, Pinola","Copiah, Simpson",Pennsylvania through truss
Waynesboro Bridge,1910,removed 2004-04-07,Waynesboro,Wayne,Pratt through truss
