Team,No,Driver,Class,Chassis,Engine,Random_Column_1,Dummy_Col_2,Dummy_Col_3
Carlin Motorsport,1,James Courtney,C,Dallara F302,Mugen-Honda,7cc1R,TpNuwuR,CjvglzIg
Carlin Motorsport,1,Derek Hayes,C,Dallara F302,Mugen-Honda,Diu5Fh,vIIxJ,yPLjOMD
Carlin Motorsport,2,Alan van der Merwe,C,Dallara F302,Mugen-Honda,1sICX,IHsrxAG,lmEfObdw
Carlin Motorsport,21,Michael Keohane,C,Dallara F302,Mugen-Honda,Z8WT3g1U,OMXjul,peEoBpeX
Carlin Motorsport,22,Shinya Hosokawa,C,Dallara F302,Mugen-Honda,foeYyj51,AlJwGtH,HbWValte
Manor Motorsport,3,Mark Taylor,C,Dallara F302,Mugen-Honda,RKv8TS,wuaEu,WtPtGvGZ
Manor Motorsport,4,Richard Antinucci,C,Dallara F302,Mugen-Honda,5WPa5,UCuiYZ,QTBeoBwD
Manor Motorsport,34,Ronnie Bremer,C,Dallara F302,Mugen-Honda,pz9sM,WrvSCzAy,UREHc
Fortec Motorsport,5,Fabio Carbone,C,Dallara F302,Renault Sodemo,1qP3F,GaXYVfQ,fQAKpqEw
Fortec Motorsport,6,Heikki Kovalainen,C,Dallara F302,Renault Sodemo,zYkDHpT,QGiCf,QGomurb
Alan Docking Racing,7,Robbie Kerr,C,Dallara F302,Mugen-Honda,g29rfdh,rcshgu,KmirZ
