Team,No,Driver,Class,Chassis,Engine
Alan Docking Racing,8,Mark Mayall,C,Dallara F302,Mugen-Honda
Alan Docking Racing,13,Tor Graves,C,Dallara F302,Mugen-Honda
Team Avanti,9,Matthew Gilmore,C,Dallara F302/Ralt F302,Mugen-Honda
Team Avanti,9,James Andanson,C,Ralt F302,Mugen-Honda
Team Avanti,9,Jeroen Bleekemolen,C,Ralt F302,Mugen-Honda
Team Avanti,10,Stefano Fabi,C,Dallara F302,Mugen-Honda
Promatecme UK,11,Bruce Jouanny,C,Dallara F302,Mugen-Honda
Promatecme UK,12,Ernani Judice,C,Dallara F302,Mugen-Honda
Promatecme UK,12,Matthew Gilmore,C,Dallara F302,Mugen-Honda
Duma Racing,14,Robert Dahlgren,C,Dallara F302,Mugen-Honda
Duma Racing,14,John Antoniadis,C,Dallara F302,Mugen-Honda
