Rank,Bib,Name,Country,Time,Deficit
,35,Dario Cologna,Switzerland,38:29.7,—
,34,Johan Olsson,Sweden,38:58.2,+28.5
,43,Daniel Richardsson,Sweden,39:08.5,+38.8
4,13,Iivo Niskanen,Finland,39:08.7,+39.0
5,37,Lukáš Bauer,Czech Republic,39:28.6,+58.9
6,52,Chris Jespersen,Norway,39:30.6,+1:00.9
7,31,Alexander Bessmertnykh,Russia,39:37.7,+1:08.0
8,26,Axel Teichmann,Germany,39:42.4,+1.12.7
9,51,Alexey Poltoranin,Kazakhstan,39:43.2,+1:13.5
10,48,Marcus Hellner,Sweden,39:46.9,+1:17.2
11,49,Hannes Dotzler,Germany,39:49.9,+1:20.2
