Year,Ring name(Birth name),Inducted by,Inducted for,Notes
2008,Sandy Scott(Angus Mackay Scott),Bob Caudle,Wrestling and Promoting,Worked as an executive for Jim Crockett Promotions and won the NWA World Tag Team Championship (Central States version) (1 time) and NWA Southern Tag Team Championship (Mid-Atlantic version) (3 times)
2008,Grizzly Smith(Aurelian Smith),Magnum T.A.,Wrestling,Won the NWA United States Tag Team Championship (Tri-State version) (2 times) and NWA Texas Heavyweight Championship (1 time)
2008,Johnny Weaver(Kenneth Eugene Weaver),Rip Hawk,Wrestling,Posthumous induction; won the NWA Atlantic Coast/Mid-Atlantic Tag Team Championship (8 times) and NWA Southern Tag Team Championship (Mid-Atlantic version) (6 times)
2009,Don Fargo(Don Kalt),Jerry Jarrett & Steve Keirn,Wrestling,Won the NWA Southern Tag Team Championship (Mid-America version) (2 times) and NWA World Tag Team Championship (Mid-America version) (6 times)
2009,Jackie Fargo(Henry Faggart),Jerry Jarrett & Steve Keirn,Wrestling,Won the NWA World Tag Team Championship (Mid-America version) (10 times) and NWA Southern Tag Team Championship (Mid-America version) (22 times)
2009,Sonny Fargo(Jack Lewis Faggart),Jerry Jarrett & Steve Keirn,Wrestling,Posthumous induction; won the NWA Southern Tag Team Championship (Mid-America version) (3 times)
2009,Gary Hart(Gary Williams),Sir Oliver Humperdink,Managing and Promoting,Posthumous induction; worked as a booker in World Class Championship Wrestling and managed several wrestlers in Mid-Atlantic Championship Wrestling
2009,Wahoo McDaniel(Edward McDaniel),Tully Blanchard,Wrestling,Posthumous induction; won the NWA Mid-Atlantic Heavyweight Championship (6 times) and NWA World Tag Team Championship (Mid-Atlantic version) (4 times)
2009,Blackjack Mulligan(Robert Windham),Ric Flair,Wrestling,Won the NWA Texas Heavyweight Championship (1 time) and NWA World Tag Team Championship (Mid-Atlantic version) (1 time)
2009,Nelson Royal,"Brad Anderson, Tommy Angel & David Isley",Wrestling,Won the NWA Atlantic Coast Tag Team Championship (2 times)
2009,Lance Russell,Dave Brown,Announcing,Worked as commentator for wrestling events in the Memphis area
