Dates,Location,Attendance,Official guests,Notes,Unused_1,Filler_2,Unused_3
"July 22–24, 1983",Americana-Congress Hotel,,,The last Chicago Comicon to take place in Chicago (and the last at the Congress hotel),,HYAKx,
"July 6–8, 1984","Ramada O’Hare, Rosemont","c. 12,000","Jack Kirby, Julius Schwartz",Program cover featuring Superman drawn by Marvel Comics editor-in-chief Jim Shooter.,,oTGcjbO,
"July 5–7, 1985",Ramada O’Hare,,Guest of honor: Sergio Aragonés,10th anniversary Chicago Comicon,,cMuud,
"July 4–6, 1986",Ramada O'Hare,"5,000","Stan Lee (guest of honor), George Pérez (special guest), Doug Wildey",,,iOciO,
"July 3–5, 1987",Ramada O'Hare,"c. 4,500",,,,YVYYUxVH,
"July 1–3, 1988",Ramada O'Hare,"c. 5,000","Max Allan Collins and Dick Locher (special guests); other guests: Bernie Wrightson, Michael Kaluta, Dave Stevens, and Chris Claremont",,,NfKcaKXR,
"June 30–July 2, 1989",Ramada O'Hare,"c. 5,000","Jim Aparo, Stan Lee, Harvey Pekar, Jay Lynch, Skip Williamson, and S. Clay Wilson",,,VPrZYG,
"July 6–8, 1990",Ramada O'Hare,"5,000+","Featured guests: Van Williams, Gerard Christopher, Harvey Kurtzman, and Erik Larsen. Other guests: Mark Gruenwald, Jim Starlin, Tom DeFalco, Len Strazewski, John Ostrander, Kim Yale, Chuck Fiala, P. Craig Russell, Charlie Athanas, Dick Locher, Max Allan Collins, Rick Obadiah, and Tony Caputo.",,,FbJgh,
"June 28–30, 1991",Ramada O'Hare,,"Jim Steranko, Kevin Eastman, and Chris Claremont",,,bylzjink,
"July 4–6, 1992",Ramada O'Hare,,"Image Comics crew: Rob Liefeld, Mark Silvestri, Erik Larsen, Todd McFarlane, Jim Valentino, and Whilce Portacio; Martin Nodell",,,TQnkf,
"July 2–4, 1993",Rosemont Convention Center,"20,000–30,000",Guest of honor: Neil Gaiman,,,faxpqDAZ,
