No. inSeries,No. inSeason,Title,Directed by,Written by,Original air date,Prod. code
79,12,"\Easy Street\""""",Jeff McCracken,Jeff Menell,"December 13, 1996",B732
80,13,"\B & B's B 'N' B\""""",Jeff McCracken,Mark Blutman & Howard Busgang,"January 3, 1997",B733
81,14,"\Wheels\""""",Jeff McCracken,Jeff Sherman,"January 17, 1997",B734
82,15,"\Chick Like Me\""""",Jeff McCracken,Steve Hibbert,"January 31, 1997",B731
83,16,"\A Long Walk to Pittsburgh (Part 1)\""""",Jeff McCracken,Matthew Nelson,"February 7, 1997",B736
84,17,"\A Long Walk to Pittsburgh (Part 2)\""""",Jeff McCracken,Mark Blutman & Howard Busgang,"February 14, 1997",B737
85,18,"\Uncle Daddy\""""",Jeff McCracken,Steve Young,"February 28, 1997",B738
86,19,"\Quiz Show\""""",Jeff McCracken,Steve Hibbert,"March 21, 1997",B735
87,20,"\Security Guy\""""",Jeff McCracken,Steve Hibbert,"April 25, 1997",B740
88,21,"\Cult Fiction\""""",Jeff McCracken,Jeff Menell,"May 2, 1997",B739
89,22,"\Learning to Fly\""""",Jeff McCracken,Jeff Sherman,"May 9, 1997",B741
