No.,Temple,Honzon (main image),City/Town/Village,Prefecture
23,Yakuō-ji (薬王寺),Yakushi Nyorai,Minami,Tokushima Prefecture
24,Hotsumisaki-ji (最御崎寺),Kokūzō Bosatsu,Muroto,Kōchi Prefecture
25,Shinshō-ji (津照寺),Jizō Bosatsu,Muroto,Kōchi Prefecture
26,Kongōchō-ji (金剛頂寺),Yakushi Nyorai,Muroto,Kōchi Prefecture
27,Kōnomine-ji (神峰寺),Jūichimen Kannon,Yasuda,Kōchi Prefecture
28,Dainichi-ji (大日寺),Dainichi Nyorai,Kōnan,Kōchi Prefecture
29,Tosa Kokubun-ji (土佐国分寺),Senjū Kannon,Nankoku,Kōchi Prefecture
30,Zenrakuji (善楽寺),Amida Nyorai,Kōchi,Kōchi Prefecture
31,Chikurin-ji (竹林寺),Monju Bosatsu,Kōchi,Kōchi Prefecture
32,Zenjibu-ji (禅師峰寺),Jūichimen Kannon,Nankoku,Kōchi Prefecture
33,Sekkei-ji (雪蹊寺),Yakushi Nyorai,Kōchi,Kōchi Prefecture
