Year,Film,Language,Character,Co-Star,Music,Banner,Random_Column_1,Noise_Field_2,Unused_3
1939,Vara Vikrayam,Telugu,Kalindi,Chittor V. Nagaiah,Prabhala Satyanarayana,East India Film Company,VvMEo16,iYvUGjdh,
1940,Malathi Madhavam,Telugu,,,,East India Film Company,hWdBE9,wsSuE,
1941,Bhaktimala,Telugu,Radha,,,Bhaskar Films,jJUxBQQq,lcoBVNTB,
1941,Dharmapatni,Tamil,,,,Famous Films,ACACUr,rixqe,
1941,Dharmapatni,Telugu,,,,Famous Films,HP6hHhmA,OMaef,
1943,Garuda Garvabhangam,Telugu,,,,Pratiba,NGsbprp,CYdSqE,
1943,Krishna Prema,Telugu,Chandravali,,Galipenchala Narasimha Rao,Famous Films & Star Combines,pHRGIB,IRpTZS,
1944,Tahsildar,Telugu,Kamala,,,,zJaYNR,keKCei,
1945,Swargaseema,Telugu,Subbi/Sujatha Devi,Chittor V. Nagaiah,Chittor V. Nagaiah,Vijaya Studios,tAlrFsf,sWpjLX,
1946,Gruhapravesam,Telugu,Janaki,,,Sarati Films,YJEhWnG,EDOJM,
1947,Ratnamala,Telugu,Ratnamala,C. S. R. Anjaneyulu,C. R. Subburaman,Bharani Pictures,gKson,lYsrkqD,
