Year,Film,Language,Character,Co-Star,Music,Banner
1956,Tenali Raman,Tamil,Krishnasani,N. T. Rama Rao & Sivaji Ganesan,Viswanathan Ramamoorthy,Vikram Productions
1956,Sadharam,Tamil,Sadharam,Gemini Ganesan & K. R. Ramaswamy,G. Ramanathan,Kasturi Films
1956,Thaaikkuppin Thaaram,Tamil,Sivakami,M. G. Ramachandran,K. V. Mahadevan,Devar Films
1956,Rambaiyin Kaadhal,Tamil,Ramba,K. A. Thangavelu,T. R. Papa,Kalpana Pictures
1957,Makkalai Petra Magarasi,Tamil,Rangamma,Sivaji Ganesan,K. V. Mahadevan,Sri Lakshmi Pictures
1957,Manamagan Thevai,Tamil,,Sivaji Ganesan,G. Ramanathan,Bharani Pictures
1957,Varudu Kavali,Telugu,,K. Jaggaiah,G. Ramanathan,Bharani Pictures
1957,Rani Lalithangi,Tamil,,Sivaji Ganesan,G. Ramanathan,TNR Productions
1957,Ambikapathy,Tamil,Princess Amaravati,Sivaji Ganesan,G. Ramanathan,ALS Productions
1957,Nala Damayanti,Telugu,Damayanthi,Kemparaj Urs,,
1957,Sarangadhara,Telugu,Chitrangi Devi,N. T. Rama Rao,G. Ramanathan,Minerva Pictures
