Year,Seniors (Trood Award & Rodda Medal),Reserves (Rex Hartley Medal),Under 18's (Bruce Wilkinson Medal),Under 16's (Shaw/Carter Medal),Noise_Field_1,Noise_Field_2,Noise_Field_3
1954,Bob Mason (Sale) (20 Votes),Rex Donnelly (Moe) (19),,,aleIy,OXNTcPNK,nOdDFVG
1955,Bob Mason (Sale) (23),Ron Hayes (Warragul) (20),,,tjcqQfE,YVadVj,xZgpMQV
1956,Noel Alford (Traralgon) (18),"\Mossy\"" Morgan (Trafalgar) (33)""",,,pkljq,xGhWg,LRYDcvAw
1957,John Nix (Sale) (21),"\Mossy\"" Morgan (Trafalgar) (16)""",M.James (Morwell) (19),,kNwznJme,vEOEG,LQdNIegG
1958,Lester Ross (Moe) (31),Tom Hart (Sale) (33),M.West (Warragul) (14),,YViDam,uupkfjj,mXVGxoJ
1959,Peter Bevilacqua (Yarragon) (19),Ray Pollock (Yallourn),N.Hall (Yallourn) (12),,WEiRi,wPtEBH,ppGTl
1960,Steve Szabo (Morwell) (20),Allan Rankin (Trafalgar) (20),G.Townsend (St Pat's) (22),,oGDsiM,UlopSML,fJTRr
1961,Kevin Coverdale (Bairnsdale) (24),Jack Vinall (Yallourn) (20),G.Townsend (St Pat's) (31),,mJRBGqP,NUtPwwVv,tdXwFP
1962,Ric Belford (Yallourn) (27),Tom O'Callaghan (Traralgon) (18),T.Hunter (Traralgon) (29),,mstGLqM,LECfp,VmSswE
1963,Allan Steele (Moe) (18),Ron Serong (Warragul) (32),R.Foster (St Pat's A) (35),WEST ZONE (Under 18's),wIYCGv,HobTi,cqfDHHR
1964,Mike Collins (Yallourn) (17),Max Prendergast (Bairnsdale) (27),J.Barnett (Sale) (23),B.Pickering (Trar. Colts) (12),aierIQCE,tmZCwI,PRWFlG
