Name,Completed,Architect,Location,Year of listing & ref(s),Random_Column_1
1 Booth Street,Circa 1850s,Unknown,Booth Street,1974,QRGSvhc
8 Lower Park Road,circa 1875,Alfred Waterhouse,"Lower Park Road, Rusholme",1974,qsR2e
29 Swan Street,circa 1865s,Unknown,"Swan Street, Ancoats",1989,aafW75h
46-48 Brown Street,1868,George Truefitt,,,87QIS
50 Newton Street,Circa 1900,Clegg & Knowles,"Newton Street, Piccadilly",1988,RNCvLGz
53 King Street,1912,Charles Heathcote,King Street,,yF68s
107 Piccadilly,1899,Charles Heathcote,Piccadilly,1974,FrKVW
235-291 Deansgate,1899,Unknown,Deansgate,1988,mvwz9Z
Albert Hall,1910,W. J. Morley,Peter Street,,Edw2XA
Ancoats Hospital,1891,Lewis and Crawcroft,Ancoats,1974,McAuBJy
