Name,Completed,Architect,Location,Year of listing & ref(s),Noise_Field_1,Extra_Data_2,Dummy_Col_3
St Mary's Hospital,1909,John Ely,Wilmslow Road,1994,WagVW,711,wkPcme
Samuel Alexander Building,1919,Percy Scott Worthington,Oxford Road,2010,FtNPb,938,VLXNLoq
Ship Canal House,1927,Harry S. Fairhurst,King Street,1982,aeQTMcNf,847,EHwMeyzf
Smithfield Market Hall,1857,Unknown,"Swan Street, Ancoats",1973,xrHyTeci,820,sDfVZc
Strangeways Gaol Gatehouse,1868,Alfred Waterhouse,Sherborne Street,1974,EsTiH,899,DQkUaWxN
Strangeways Prison ventilation and watch tower,1868,Alfred Waterhouse,Sherborne Street,1974,mwXgmRap,304,qUhXX
Theatre Royal,1845,Irwin and Chester,Peter Street,1974,XXZLQ,534,TBgzHr
Toast Rack,1960,L. C. Howitt,Fallowfield,1999,eYNhPsK,507,KZVBLZwa
The Old Wellington Inn,Mid-16th century,Unknown,Shambles Square,1952,ZCLye,542,nOqqXnC
Whitworth Park Mansions,Circa 1840s,Unknown,Whitworth Park,1974,dyjKPwf,958,mPPhuSd
