Year,English title,Japanese,Romanization,Type,Dummy_Col_1,Extra_Data_2,Filler_3
2003,Gozu,極道恐怖大劇場 牛頭 GOZU,Gokudō kyōfu dai-gekijō: Gozu,Film,fdWWyKZz,198,RkiVwr
2003,Yakuza Demon,鬼哭 kikoku,Kikoku,Video,xOZgt,462,UHxjxtxl
2003,Kōshōnin,交渉人,Kōshōnin,TV,wIVZy,179,UcCpn
2003,One Missed CallYou've Got a Call,着信アリ,Chakushin Ari,Film,VEKPQBq,706,wRtlTu
2004,Zebraman,ゼブラーマン,Zeburāman,Film,xNBxi,99,OtJTxvxU
2004,Pāto-taimu tantei 2,パートタイム探偵2,Pāto-taimu tantei 2,TV,YxDfBs,337,WDsPpMf
2004,Box segment in Three... Extremes,BOX（『美しい夜、残酷な朝』）,Saam gaang yi,Segment in feature film,slSPeFU,252,hefEi
2004,Izo,IZO,IZO,Film,mvfjBkgI,9,wYXTYB
2005,Ultraman Max,ウルトラマンマックス,Urutoraman Makkusu,Episodes 15 and 16 from TV tokusatsu series,Tgxqpc,8,JflPPNgj
2005,The Great Yokai War,妖怪大戦争,Yokai Daisenso,Film,qBOmmLEb,340,rEMEqD
2006,"Big Bang Love, Juvenile A4.6 Billion Years of Love",46億年の恋,46-okunen no koi,Film,OdRoDRY,335,YVZRzHAZ
