Rank,Swimmer,Country,Time,Note,Unused_1,Random_Column_2
12,Alia Atkinson,Jamaica,1:01.17,,,ERNHY
13,Alexis Jordan,Barbados,1:01.79,,,5a48jj
14,Sharntelle McLean,Trinidad and Tobago,1:03.26,,,0ohGYO
15,Jennifer Powell,Cayman Islands,1:03.41,,,uMCZyMv
16,Nishani Cicilson,Suriname,1:03.88,,,HRKsT
17,Sade Daal,Suriname,1:04.70,,,tBwYXB1j
18,Dalia Tórrez,Nicaragua,1:05.69,,,8wrQwA
--,Gisela Morales,Guatemala,DNS,,,hPsnF
--,Alana Dillette,Bahamas,DNS,,,ZhGmMH
--,Pamela Benítez,El Salvador,DNS,,,hwI16imv
--,Nilshaira Isenia,Netherlands Antilles,DNS,,,wqsqynnj
