Album / Name,Artist(s),Label,Role/Credit,Date,Chart#
Johnny's Dome Theatre ~ Summary 2012~,Sexy Zone,"Johnny's Entertainment, Japan",Songwriter,"Feb 13, 2012",#1 Oricon Japan Blu-ray Chart / #2 DVD Chart
JG Style,イ・ジュンギ,"IMX, Japan","Producer, Songwriter, Keyboards, Programming","Feb 14, 2013",
Over joyed Concert DVD,Heo Young Saeng (허영생),"Pony Canyon, Japan","Producer, Songwriter, Keyboards, Programming","Feb 22, 2013",
10th Single,F.T.Island,"Warner Music, Japan","Producer, Songwriter, Arranger, Keyboards, Programming","Mar 27, 2013",#5 Oricon Japan Single Chart
2nd Album,Kis-My-Ft2,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","Mar 27, 2013",#1 Oricon Japan Album Chart / Platinum
Boys Meet U,SHINee,EMI Japan,"Producer, Songwriter, Keyboard, Programming","June 26, 2013",#2 Oricon Japan Album Chart
Come On A My House,Hey! Say! JUMP,"Johnny's Entertainment, Japan",Songwriter,"June 26, 2013",#1 Oricon Japan Single Chart / Gold
Feel,Namie Amuro,"Avex, Japan","Producer, Songwriter, Keyboards & programming, Mix","July 10, 2013",#1 Oricon Japan Album Chart / Platinum
Round 3,Kim Hyun Joong,"KeyEast, Korea","Producer, Songwriter, Director, Keyboard, Programming, Percussions","July 22, 2013",#1 in Billboard World Chart / #1 in 8 countries in Asia
XOXO,EXO,"SM Entertainment, Koea","Producer, Songwriter","August 4, 2013",#1 Selling Album of the Year Korea
8th Single,Kis-My-Ft2,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","August 14, 2013",#1 Oricon Japan Single Chart / Platinum
The Single Collection,F.T.Island,"Warner Music, Japan","Producer, Songwriter, Arranger, Keyboards, Programming","September 8, 2013",Top 10 Album Japan
