Match,Date,Ground,Opponent,Score1,Pos.,Pts.,GD,Dummy_Col_1,Dummy_Col_2
13,14 November,H,1. FC Nürnberg,1 – 0,1,20,13,ILcKIg,JuonB
14,21 November,A,Bayer Leverkusen,4 – 2,1,22,15,Ppjhh,tVVOtj
15,28 November,H,Karlsruher SC,3 – 3,1,23,15,IljwT,FdjbxEF
16,5 December,A,VfL Bochum,2 – 2,1,24,15,gaiZoFUB,SedOQIWy
17,12 December,H,Schalke 04,1 – 1,1,25,15,wufiZVc,MvToUP
18,20 February,H,Bayer Uerdingen,2 – 0,1,27,17,ITuha,bbCxu
19,27 February,A,1. FC Kaiserslautern,3 – 1,1,29,19,UpHODo,WsmAc
20,6 March,H,Eintracht Frankfurt,1 – 0,1,31,20,TIHqCZoo,QzYbO
21,13 March,A,Dynamo Dresden,0 – 0,1,32,20,ABtsMJYz,kBAiZbYi
22,20 March,H,1. FC Köln,3 – 0,1,34,23,NprnW,aFhQBsu
23,28 March,A,Hamburger SV,1 – 3,1,34,21,hxoOALyt,yKXnh
