,District,Headquarters,Population(2011),Males,Females,PercentageDecadalGrowth2001-2011,Sex Ratio,Density(Personsperkm2),ChildPopulation0–6 years,ChildSexratio,Literacy rate
11,Ganjam,Chhatrapur,"3,520,151","1,777,324","1,742,827",11.37,981,429,"397,920",899,71.88
12,Jagatsinghpur,Jagatsinghpur,"1,136,604","577,699","558,905",7.44,967,681,"103,517",929,87.13
13,Jajpur,Jajpur,"1,826,275","926,058","900,217",12.43,972,630,"207,310",921,80.44
14,Jharsuguda,Jharsuguda,"579,499","297,014","282,485",12.56,951,274,"61,823",938,78.36
15,Kalahandi,Bhawanipatna,"1,573,054","785,179","787,875",17.79,"1,003",199,"214,111",947,60.22
16,Kandhamal,Phulbani,"731,952","359,401","372,551",12.92,"1,037",91,"106,379",960,65.12
17,Kendrapara,Kendrapara,"1,439,891","717,695","722,196",10.59,"1,006",545,"153,443",921,85.93
18,Kendujhar,Kendujhar,"1,802,777","907,135","895,642",15.42,987,217,"253,418",957,69.00
19,Khordha,Khordha,"2,246,341","1,166,949","1,079,392",19.65,925,799,"222,275",910,87.51
20,Koraput,Koraput,"1,376,934","677,864","699,070",16.63,"1,031",156,"215,518",970,49.87
