County,Obama,Votes,Romney,Votes,Others,Votes,Total,Extra_Data_1,Random_Column_2,Dummy_Col_3
Roosevelt,28.92%,"1,730",67.73%,"4,052",3.36%,201,"5,983",843,vdFOR2gR,HkWUwvmn
San Juan,34.11%,"15,688",62.57%,"28,779",3.32%,"1,527","45,994",141,0z8kjN7,lCoCt
San Miguel,76.86%,"8,751",20.04%,"2,281",3.10%,353,"11,385",994,UmvFJ2l,RDNBAEz
Sandoval,50.29%,"26,976",45.17%,"24,228",4.53%,"2,432","53,636",476,Q553G,nkQNRL
Santa Fe,73.37%,"50,097",22.48%,"15,351",4.15%,"2,832","68,280",790,439HQsI,WBeFEWy
Sierra,38.49%,"1,964",57.39%,"2,928",4.12%,210,"5,102",140,JPFpF0t,ZDIskDf
Socorro,56.37%,"4,047",37.89%,"2,720",5.74%,412,"7,179",366,yGyKef,IeAujh
Taos,78.06%,"11,855",17.84%,"2,710",4.10%,623,"15,188",80,Mnxvwkp,MHIkyn
Torrance,37.86%,"2,414",55.22%,"3,521",6.92%,441,"6,376",852,fkyYpP8K,oIdhbvAO
Union,26.83%,472,70.27%,"1,236",2.90%,51,"1,759",524,LG7dbzxo,iRyoR
Valencia,48.73%,"13,473",46.25%,"12,788",5.01%,"1,386","27,647",469,MrQjr,ITBlShLm
