County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate(2011),Area
Chowan County,041,Edenton,1668,Albemarle County,Chowan Native American tribe,"14,831",233 sq mi(603 km2)
Clay County,043,Hayesville,1861,Cherokee County,"Henry Clay (1777–1852), statesman and orator who represented Kentucky in both the House of Representatives and Senate","10,563",221 sq mi(572 km2)
Cleveland County,045,Shelby,1841,Lincoln County and Rutherford County,"Benjamin Cleveland (1738–1806), a colonel in the American Revolutionary War who took part in the Battle of Kings Mountain","97,489","469 sq mi(1,215 km2)"
Columbus County,047,Whiteville,1808,Bladen County and Brunswick County,"Christopher Columbus (1451–1507), navigator, explorer, and one of the first Europeans to explore the Americas","57,712","954 sq mi(2,471 km2)"
Craven County,049,New Bern,1705,Bath County,"William Craven, 1st Earl of Craven (1608–1697), who was a Lords Proprietor of colonial North Carolina","104,786","774 sq mi(2,005 km2)"
Cumberland County,051,Fayetteville,1754,Bladen County,"Prince William, Duke of Cumberland (1721–1765), a military leader and son of George II","324,885","658 sq mi(1,704 km2)"
Currituck County,053,Currituck,1668,Albemarle County,"Traditionally said to be an American Indian word for wild geese, also rendered \Coratank\""""","23,955","526 sq mi(1,362 km2)"
Dare County,055,Manteo,1870,"Currituck County, Hyde County, and Tyrrell County","Virginia Dare (b. 1587), the first child born of English parents in America","34,307","1,562 sq mi(4,046 km2)"
Davidson County,057,Lexington,1822,Rowan County,"William Lee Davidson (1746–1781), an American Revolutionary War general who was mortally wounded at Cowan's Ford","162,695","567 sq mi(1,469 km2)"
Davie County,059,Mocksville,1836,Rowan County,"William Richardson Davie (1756–1820), a member of the Federal Convention and governor of North Carolina","41,552",267 sq mi(692 km2)
