Rank,Bib,Name,Nation,Run 1,Rank,Run 2,Rank,Total,Difference
,1,Tina Maze,Slovenia,1:07.05,1,1:13.49,15,2:20.54,
,9,Federica Brignone,Italy,1:07.39,2,1:13.24,10,2:20.63,+0.09
,3,Tessa Worley,France,1:09.17,19,1:11.85,1,2:21.02,+0.48
4,20,Denise Karbon,Italy,1:08.24,9,1:13.04,7,2:21.28,+0.74
5,6,Viktoria Rebensburg,Germany,1:08.04,6,1:13.38,13,2:21.42,+0.88
6,13,Manuela Mölgg,Italy,1:07.99,5,1:13.44,14,2:21.43,+0.89
7,26,Jessica Lindell-Vikarby,Sweden,1:08.94,14,1:12.61,5,2:21.55,+1.01
8,19,Marlies Schild,Austria,1:09.16,18,1:12.58,4,2:21.74,+1.20
9,16,Anja Pärson,Sweden,1:08.23,8,1:13.52,16,2:21.75,+1.21
10,14,Taïna Barioz,France,1:09.59,23,1:12.20,2,2:21.79,+1.25
10,8,Elisabeth Görgl,Austria,1:07.76,3,1:14.03,25,2:21.79,+1.25
12,5,Kathrin Zettel,Austria,1:08.04,6,1:13.80,21,2:21.84,+1.30
