Year,City,"State, province, dept., etc.",Country,Notes,Random_Column_1
1880,Pierre,South Dakota,United States,,kgHy4r1L
1881,Juneau,Alaska,United States,,XPGYyY
1881,Moose Jaw,Saskatchewan,Canada,Incorporated as a city (population 5000+) November 1903.,nEJYAR
1882,Brandon,Manitoba,Canada,,vgKGck
1882,Mao,Valverde,Dominican Republic,,Bpt4U
1882,Restauración,Dajabón,Dominican Republic,,RDOGNsC
1882,Yorkton,Saskatchewan,Canada,"The York Farmers’ Colonization Company Limited settlement May 12, 1882. City (population 5000+) incorporated February 1, 1928.",sK8o9h
1882,Swift Current,Saskatchewan,Canada,"Canadian Pacific Railway arrival December 10, 1882. City (population 5000+) incorporated January 15, 1914.",2GH47k
1882,Regina,Saskatchewan,Canada,"Settlement first named Pile O' Bones, and renamed Regina. Capital city of SK. Incorporated as a city (population 5000+) June 19, 1903",X319U
1882,Rio Branco,Acre,Brazil,,JZ1oe
1883,Saskatoon,Saskatchewan,Canada,"Temperance Colony founded at Nutana. Riversdale, Nutana, and Saskatoon incorporated as a city (population 5000+) in 1906.",SetqBcB
1884,Melfort,Saskatchewan,Canada,"Stoney Creek Settlement began in 1884. Incorporated as a city (population 5000+) on July 1, 1907.",XCU2jJG
1886,Vancouver,British Columbia,Canada,,ocefZ8v
1886,Nelson,British Columbia,Canada,,XefHq6
1887,Gulfport,Mississippi,United States,[20],7UAToCBm
1888,Virginia Beach,Virginia,United States,Grew from Seatack community.,cSV7om
1889,Oklahoma City,Oklahoma,United States,,ApNrw6fU
1890,Ijuí,Rio Grande do Sul,Brazil,,8sl8yD
1892,Aliança,Pernambuco,Brazil,Declared vila in 1909; cidade in 1928.,Z9vkcYg
1892,Catende,Pernambuco,Brazil,Created in 1892 as a district of Palmares. Autonomous municipality in 1909.,Wrx4Tes
1892,Estevan,Saskatchewan,Canada,"CPR arrives 1893. Incorporated as city (population 5000+) March 1, 1957",SEObK
1892,Guayaramerín,Beni,Bolivia,,vGe58xG4
1892,Restauración,Dajabón,Dominican Republic,,IqFJeMg
1893,Araripina,Pernambuco,Brazil,Created in 1893 as a district of Ouricuri. Autonomous municipality in 1928.,ygX3SU
1893,Catuípe,Rio Grande do Sul,Brazil,,CM37PNk
1894,Riberalta,Beni,Bolivia,,nm0wDf
1895,Traverse City,Michigan,United States,,z6K3qm
1896,Condado,Pernambuco,Brazil,Declared cidade in 1958.,D4pnCl
1896,Inhumas,Goiás,Brazil,,qfOab2
1896,Miami,Florida,United States,,eSyuIvRO
1896,Santa Catalina la Tinta,Alta Verapaz,Guatemala,,1qMxdtpV
1897,Jequié,Bahia,Brazil,,W3D2nIk
1898,Tulsa,Oklahoma,United States,,frooa
1898,Weyburn,Saskatchewan,Canada,Signal Hill settlement. Weyburn incorporated as a city (population 5000+) 1913.,7l2rG01x
1898,Chetumal,Quintana Roo,Mexico,Originally called Payo Obispo.,DFu9n
1899,Porto Acre,Acre,Brazil,,LZtg5HV
1900,Afrânio,Pernambuco,Brazil,Created in 1900 as a district of Petrolina. Autonomous municipality in 1963.,QFO9m
1903,Lloydminster,Saskatchewan,Canada,Brittania colony settled by Rev. Exton Lloyd and Rev. Isaac Barr. Incorporated as a city (population 5000+) in 1958.,otX1Yfm3
1904,Cruzeiro do Sul,Acre,Brazil,,hk3W5Ct
1904,Grytviken,,South Georgia,,fAA0hmH
1904,Sena Madureira,Acre,Brazil,,f2MwijP
1904,Xapuri,Acre,Brazil,,SFwy2
1906,Cobija,Pando,Bolivia,,mSJWomX
1906,Feijó,Acre,Brazil,,Ysq8b
1907,Melville,Saskatchewan,Canada,"Incorporated as a city (population 5000+) August 1, 1960",vFjMy
1907,Tarauacá,Acre,Brazil,,UzFAg6
1908,São Mateus do Sul,Paraná,Brazil,,QKZ3U
1909,Estreito,Maranhão,Brazil,,uDtoUsd
1910,Brasiléia,Acre,Brazil,,ObtKZMR
1910,Kindersley,Saskatchewan,Canada,,VWo5T
1910,Porto Walter,Acre,Brazil,,2gDhF
1910,Villazón,Potosí,Bolivia,,ZTVW7Xdz
1911,Las Vegas,Nevada,United States,,4d9R8
1914,Anchorage,Alaska,United States,,xFRD6U
1929,Pabellón de Arteaga,Aguascalientes,Mexico,,aa04essa
1931,Loreto,Zacatecas,Mexico,,AohGmA
1935,Yellowknife,Northwest Territories,Canada,,XAJP1
1942,Iqaluit,Nunavut,Canada,Originally called Frobisher Bay.,8iVpB4
1955,Freeport,Grand Bahama,Bahamas,,jJiHpO
1957,Ciudad del Este,Alto Paraná,Paraguay,Originally called Puerto Flor de Lis.,oC5ftM
1957,Rankin Inlet,Nunavut,Canada,,XIGScCMb
1960,Brasília,Distrito Federal,Brazil,Created in 1960 as the national capital.,YcNLaY1
1970,Belmopan,Cayo,Belize,,rHT4E9cg
1970,Linden,Upper Demerara-Berbice,Guyana,"City formed by combining the towns of Christianburg, MacKenzie, and Wismar.",JAGVW82
1970,Cancún,Quintana Roo,Mexico,,A0arB
1989,Palmas,Tocantins,Brazil,Was founded 1 year after the creation of the State of Tocantins. It's the newest and smallest Brazilian capital city.,ennly8n
