M,Date,Tournament,Round,Ground,Opponent,Score,Attendance,Dinamo Scorers,Report,Random_Column_1
12,26 Aug,UEL,Play-off,H,Győri ETO,2 – 1,"8,000",Sammir (2),Sportnet.hr,8u9sQq
13,28 Aug,1. HNL,6,H,Cibalia,2 – 0,"3,500","Vrsaljko, Tomečak",Sportnet.hr,jgkBA
14,11 Sep,1. HNL,7,A,Hajduk Split,1 – 1,"30,000",Sammir,Sportnet.hr,jZ2CR
15,16 Sep,UEL,Group,H,Villarreal,2 – 0,"21,000","Rukavina, Sammir",Sportnet.hr,4xB9So
16,19 Sep,1. HNL,8,H,NK Zagreb,1 – 0,"11,000",Barbarić,Sportnet.hr,pW4VeV
17,22 Sep,Cup,R1,A,Zadrugar,6 – 0,"1,500","Bećiraj (2), Kramarić (3), Sylvestr",Sportnet.hr,kWYUwi
18,26 Sep,1. HNL,9,AR,Lokomotiva,2 – 0,50,"Chago, Tonel",Sportnet.hr,eGWetc3
19,30 Sep,UEL,Group,A,PAOK,0 – 1,"25,000",,Sportnet.hr,gOmXAh
20,03 Oct,1. HNL,10,H,Istra 1961,4 – 0,"1,500","Sylvestr, Bećiraj, Sammir (2)",Sportnet.hr,neYXK
21,16 Oct,1. HNL,11,A,Osijek,3 – 1,"5,000","Sammir, Badelj, Bećiraj",Sportnet.hr,KCOBq
