Responsible Minister(s),Crown Entities,Monitoring Department(s),Category / Type,Empowering Legislation
Sport and Recreation,New Zealand Sports Drug Agency,Culture and Heritage,ICE,New Zealand Sports Drug Agency Act 1994 (Part 2 and Schedule)
Sport and Recreation,Sport and Recreation New Zealand,Culture and Heritage,Crown agent,Sport and Recreation New Zealand Act 2002 (Part 2)
Tertiary Education,Tertiary Education Commission,Education,Crown agent,Education Act 1989 (Part 13A)
Tertiary Education,Tertiary education institutions (33),Education,TEIs,Education Act 1989 (Parts 14 and 15 and Schedule 13A)
Tourism,New Zealand Tourism Board,Economic Development,Crown agent,New Zealand Tourism Board Act 1991 (Part 1 and Schedule 1)
Transport,Civil Aviation Authority of New Zealand,Transport,Crown agent,Civil Aviation Act 1990 (Part 6A and Schedule 3)
Transport,New Zealand Transport Agency,Transport,Crown agent,Land Transport Management Act 2003 (Part 3 and Schedule 4)
Transport,Maritime New Zealand,Transport,Crown agent,Maritime Transport Act 1994 (Part 29 and Schedule 1)
Transport,Transit New Zealand,Transport,Crown agent,Land Transport Management Act 2003 (Part 3 and Schedule 4)
Transport,Transport Accident Investigation Commission,Transport,ICE,Transport Accident Investigation Commission Act 1990 (Part 2 and Schedule)
