Name,Firstheld,Country,Earliest attendance figure known,1998 attendance,2000 attendance,2002 Attendance,2004 attendance,2006 attendance,2008 attendance,2010 attendance,2012 Attendance,Filler_1,Dummy_Col_2,Unused_3
Zenkaikon,2005,USA,450(2006),,,,,450,1352,n/a,"2,736",iOoZf,UXKeWyPr,
ConBravo!,2010,USA,350(2010),,,,,,,350,2119,nmuCmPl,ucqfRz,
Oni-Con,2004,USA,3000(2004),,,,3000,6000,n/a,n/a,n/a,ccyyEWY,MhWod,
Otakuthon,2006,USA,1872(2006),,,,,1872,3048,7310,11000,FmGxhlR,LzLqs,
G-Anime,2009,USA,828(2009),,,,,,,1029,1486,jLbeaZn,cyTvQUCZ,
Senshi-Con,2005,USA,300(2005),,,,,n/a,1200,1000,1600,DBoFzKnA,gFUIrY,
Anime Matsuri,2007,USA,n/a,,,,,,n/a,n/a,10422,KTsPt,XotJFTi,
Anime-ZAP!,2010,USA,158(2010),,,,,,,158,n/a,ugNTOLWZ,WQQLbC,
Aniwave,2010,USA,400(2010),,,,,,,400,n/a,IdegFs,gDAQQ,
Saboten Con,2008,USA,2730(2011),,,,,,n/a,n/a,3432,Bjcxs,jBtplml,
