No.,Air date,Network,Householdrating,Viewers(millions),Random_Column_1,Dummy_Col_2,Random_Column_3
18th,"June 27, 1991",CBS,13.5,18.9,7kS9aOhQ,gcXRz,sLwrg05E
19th,"June 23, 1992",NBC,15.3,20.2,8Znij,deaFSfD,9Yr3oB
20th,"May 26, 1993",ABC,16.4,22,ta31qPN,XJNHd,MEd2NoD
21st,"May 25, 1994",ABC,14.1,18.9,g63IFEKF,gBSaeUUn,RqxiIY
22nd,"May 19, 1995",NBC,10.2,13.7,oAGl6iq,pLzVkzcp,XipFI
23rd,"May 22, 1996",CBS,11.4,15.1,ZKwjT0,qVXqe,al4an
24th,"May 21, 1997",ABC,11.8,15.9,Ba9x4Hm,UqSmN,ciMw0jOD
25th,"May 15, 1998",NBC,10.2,13,MlJcYZJ,CcIDM,a689j1bP
26th,"May 21, 1999",CBS,10.4,14.2,7K0kzX,zVAzgR,XNhSVI
27th,"May 19, 2000",ABC,9.1,13,w0Adc,ffRxgV,mBVdVKR
28th,"May 18, 2001",NBC,7.9,10.3,0ABi6K,EmPiJZKQ,2kKuON
